Solution 1:
Total Switches: 835
Boundary Edges (580):
  blacklist_add:168 -> url_unescape:220, Weight: 0, Domains: 0 -> 1
  address_list_release:318 -> debug_logprintf:583, Weight: 0, Domains: 1 -> 0
  address_list_release:318 -> address_list_delete:304, Weight: 1, Domains: 1 -> 0
  gethttp:3251 -> resp_header_copy:734, Weight: 2, Domains: 1 -> 0
  init_interesting:248 -> hash_table_put:425, Weight: 0, Domains: 0 -> 1
  initialize_request:1812 -> initialize_request:1813, Weight: 2, Domains: 1 -> 0
  sleep_between_retrievals:1193 -> xsleep:2097, Weight: 0, Domains: 1 -> 0
  sleep_between_retrievals:1193 -> debug_logprintf:583, Weight: 0, Domains: 1 -> 0
  sleep_between_retrievals:1193 -> random_float:1908, Weight: 0, Domains: 1 -> 0
  parse_strict_transport_security:1271 -> parse_strict_transport_security:1272, Weight: 2, Domains: 0 -> 1
  open_output_stream:2436 -> logprintf:550, Weight: 0, Domains: 1 -> 0
  open_output_stream:2436 -> fopen_excl:759, Weight: 0, Domains: 1 -> 0
  open_output_stream:2436 -> mkalldirs:1237, Weight: 1, Domains: 1 -> 0
  open_output_stream:2436 -> rotate_backups:1250, Weight: 0, Domains: 1 -> 0
  open_output_stream:2436 -> file_exists_p:596, Weight: 0, Domains: 1 -> 0
  gethttp:2979 -> scheme_disable:512, Weight: 0, Domains: 1 -> 0
  gethttp:2979 -> ssl_init:89, Weight: 0, Domains: 1 -> 0
  gethttp:2979 -> logprintf:550, Weight: 0, Domains: 1 -> 0
  fd_read_body:301 -> limit_bandwidth:94, Weight: 0, Domains: 1 -> 0
  fd_read_body:301 -> fd_read_line:620, Weight: 0, Domains: 1 -> 0
  fd_read_body:301 -> ptimer_measure:362, Weight: 1, Domains: 1 -> 0
  fd_read_body:301 -> fd_read:916, Weight: 1, Domains: 1 -> 0
  append_value_to_filename:1183 -> url_unescape:220, Weight: 0, Domains: 0 -> 1
  retrieve_url:761 -> url_error:983, Weight: 0, Domains: 1 -> 0
  retrieve_url:761 -> logprintf:550, Weight: 0, Domains: 1 -> 0
  retrieve_url:761 -> url_parse:697, Weight: 2, Domains: 1 -> 0
  retrieve_tree:252 -> make_string_hash_table:665, Weight: 0, Domains: 0 -> 1
  cookie_header:1023 -> cookie_header:1024, Weight: 2, Domains: 0 -> 1
  request_free:391 -> request_free:392, Weight: 2, Domains: 0 -> 1
  request_remove_header:296 -> release_header:182, Weight: 0, Domains: 0 -> 1
  print_broken_links:86 -> hash_table_iterate:551, Weight: 0, Domains: 0 -> 1
  print_broken_links:86 -> hash_table_iter_next:567, Weight: 0, Domains: 0 -> 1
  establish_connection:1996 -> establish_connection:1997, Weight: 2, Domains: 1 -> 0
  gethttp:3083 -> request_send:325, Weight: 2, Domains: 1 -> 0
  gethttp:3266 -> resp_header_locate:673, Weight: 2, Domains: 1 -> 0
  gethttp:3266 -> cookie_handle_set_cookie:712, Weight: 0, Domains: 1 -> 0
  find_matching_cookie:183 -> hash_table_get:340, Weight: 0, Domains: 0 -> 1
  check_auth:2297 -> url_full_path:1090, Weight: 0, Domains: 0 -> 1
  discard_matching_cookie:288 -> hash_table_count:587, Weight: 0, Domains: 0 -> 1
  append_uri_pathel:1456 -> append_uri_pathel:1457, Weight: 2, Domains: 0 -> 1
  dot_create:227 -> logputs:352, Weight: 0, Domains: 1 -> 0
  dot_create:227 -> logprintf:550, Weight: 0, Domains: 1 -> 0
  dot_create:227 -> numdigit:1601, Weight: 0, Domains: 1 -> 0
  skip_short_body:947 -> skip_short_body:948, Weight: 2, Domains: 1 -> 0
  dot_finish:394 -> dot_finish:395, Weight: 0, Domains: 1 -> 0
  discard_matching_cookie:293 -> hash_table_get_pair:354, Weight: 0, Domains: 0 -> 1
  discard_matching_cookie:293 -> hash_table_put:425, Weight: 0, Domains: 0 -> 1
  read_response_body:1685 -> read_response_body:1707, Weight: 1, Domains: 1 -> 0
  read_response_body:1685 -> warc_write_response_record:1449, Weight: 0, Domains: 1 -> 0
  register_download:877 -> dissociate_urls_from_file:856, Weight: 0, Domains: 1 -> 0
  register_download:877 -> match_except_index:791, Weight: 0, Domains: 1 -> 0
  register_download:877 -> hash_table_remove:454, Weight: 0, Domains: 1 -> 0
  bind_local:487 -> sockaddr_size:164, Weight: 0, Domains: 0 -> 1
  connect_to_ip:341 -> resolve_bind_address:186, Weight: 0, Domains: 1 -> 0
  input_file_url:1374 -> url_has_scheme:483, Weight: 0, Domains: 0 -> 1
  aprintf:309 -> aprintf:310, Weight: 7, Domains: 0 -> 1
  convert_links_in_hashtable:73 -> hash_table_count:587, Weight: 0, Domains: 0 -> 1
  aprintf:311 -> aprintf:312, Weight: 7, Domains: 1 -> 0
  gethttp:3261 -> resp_header_copy:734, Weight: 2, Domains: 1 -> 0
  gethttp:3301 -> check_auth:2292, Weight: 0, Domains: 1 -> 0
  gethttp:3301 -> fd_close:1016, Weight: 0, Domains: 1 -> 0
  gethttp:3301 -> resp_header_strdup:752, Weight: 0, Domains: 1 -> 0
  cache_query:604 -> hash_table_get:340, Weight: 0, Domains: 0 -> 1
  check_file_output:2258 -> file_exists_p:596, Weight: 2, Domains: 1 -> 0
  url_escape_allow_passthrough:304 -> url_escape_1:244, Weight: 4, Domains: 1 -> 0
  getftp:968 -> number_to_static_string:1799, Weight: 0, Domains: 0 -> 1
  fd_close:1016 -> fd_close:1017, Weight: 0, Domains: 0 -> 1
  connect_to_host:439 -> address_list_release:315, Weight: 0, Domains: 0 -> 1
  cookie_jar_save:1317 -> datetime_str:453, Weight: 0, Domains: 0 -> 1
  resp_header_locate:673 -> resp_header_locate:674, Weight: 18, Domains: 0 -> 1
  http_loop:3878 -> file_exists_p:596, Weight: 0, Domains: 1 -> 0
  http_loop:3878 -> set_file_timestamp:2167, Weight: 0, Domains: 1 -> 0
  sock_close:803 -> debug_logprintf:583, Weight: 0, Domains: 1 -> 0
  http_loop:3833 -> url_file_name:1659, Weight: 2, Domains: 1 -> 0
  convert_fname:1558 -> convert_fname:1609, Weight: 2, Domains: 1 -> 0
  convert_fname:1558 -> debug_logprintf:583, Weight: 0, Domains: 1 -> 0
  convert_fname:1558 -> logprintf:550, Weight: 0, Domains: 1 -> 0
  hsts_store_merge:255 -> hsts_find_entry:119, Weight: 0, Domains: 0 -> 1
  connect_to_host:411 -> connect_to_host:431, Weight: 1, Domains: 1 -> 0
  connect_to_host:411 -> address_list_address_at:110, Weight: 0, Domains: 1 -> 0
